# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     3.41455e-12     9.08573e+31     9.08573e+31     9.08573e+31
     4.64159e-12     2.66089e+31     2.66089e+31     2.66089e+31
     6.30957e-12     7.79279e+30     7.79279e+30     7.79279e+30
     8.57696e-12     2.28223e+30     2.28223e+30     2.28223e+30
     1.16591e-11     6.68385e+29     6.68385e+29     6.68385e+29
     1.58489e-11     1.95746e+29     1.95746e+29     1.95746e+29
     2.15443e-11     5.73271e+28     5.73271e+28     5.73271e+28
     2.92864e-11     1.67891e+28     1.67891e+28     1.67891e+28
     3.98107e-11     4.91692e+27     4.91692e+27     4.91692e+27
      5.4117e-11     1.43999e+27     1.43999e+27     1.43999e+27
     7.35642e-11     4.21722e+26     4.21722e+26     4.21722e+26
           1e-10     1.23507e+26     1.23507e+26     1.23507e+26
     1.35936e-10     3.61709e+25     3.61709e+25     3.61709e+25
     1.84785e-10     1.05932e+25     1.05932e+25     1.05932e+25
     2.51189e-10     3.10237e+24     3.10237e+24     3.10237e+24
     3.41455e-10     9.08573e+23     9.08573e+23     9.08573e+23
     4.64159e-10     2.66089e+23     2.66089e+23     2.66089e+23
     6.30957e-10     7.79279e+22     7.79279e+22     7.79279e+22
     8.57696e-10     2.28223e+22     2.28223e+22     2.28223e+22
     1.16591e-09     6.68385e+21     6.68385e+21     6.68385e+21
     1.58489e-09     1.95746e+21     1.95746e+21     1.95746e+21
     2.15443e-09     5.73271e+20     5.73271e+20     5.73271e+20
     2.92864e-09     1.67891e+20     1.67891e+20     1.67891e+20
     3.98107e-09     4.91692e+19     4.91692e+19     4.91692e+19
      5.4117e-09     1.43999e+19     1.43999e+19     1.43999e+19
     7.35642e-09     4.21722e+18     4.21722e+18     4.21722e+18
           1e-08     1.23507e+18     1.23507e+18     1.23507e+18
     1.35936e-08     3.61709e+17     3.61709e+17     3.61709e+17
     1.84785e-08     1.05932e+17     1.05932e+17     1.05932e+17
     2.51189e-08     3.10237e+16     3.10237e+16     3.10237e+16
     3.41455e-08     9.08573e+15     9.08573e+15     9.08573e+15
     4.64159e-08     2.66089e+15     2.66089e+15     2.66089e+15
     6.30957e-08     7.79279e+14     7.79279e+14     7.79279e+14
     8.57696e-08     2.28223e+14     2.28223e+14     2.28223e+14
     1.16591e-07     6.68385e+13     6.68385e+13     6.68385e+13
     1.58489e-07     1.95746e+13     1.95746e+13     1.95746e+13
     2.15443e-07     5.73271e+12     5.73271e+12     5.73271e+12
     2.92864e-07     1.67891e+12     1.67891e+12     1.67891e+12
     3.98107e-07     4.91692e+11     4.91692e+11     4.91692e+11
      5.4117e-07     1.43999e+11     1.43999e+11     1.43999e+11
     7.35642e-07     4.21722e+10     4.21722e+10     4.21722e+10
           1e-06     1.23507e+10     1.23507e+10     1.23507e+10
     1.35936e-06     3.61709e+09     3.61709e+09     3.61709e+09
     1.84785e-06     1.05932e+09     1.05932e+09     1.05932e+09
     2.51189e-06     3.10237e+08     3.10237e+08     3.10237e+08
     3.41455e-06     9.08573e+07     9.08573e+07     9.08573e+07
     4.64159e-06     2.66089e+07     2.66089e+07     2.66089e+07
     6.30957e-06     7.79279e+06     7.79279e+06     7.79279e+06
     8.57696e-06     2.28223e+06     2.28223e+06     2.28223e+06
     1.16591e-05          668385          668385          668385
     1.58489e-05          195746          195746          195746
     2.15443e-05         57327.1         57327.1         57327.1
     2.92864e-05         16789.1         16789.1         16789.1
     3.98107e-05         4916.92         4916.92         4916.92
      5.4117e-05         1439.99         1439.99         1439.99
     7.35642e-05         421.722         421.722         421.722
          0.0001         123.507         123.507         123.507
     0.000135936         36.1709         36.1709         36.1709
     0.000184785         10.5932         10.5932         10.5932
     0.000251189         3.10237         3.10237         3.10237
     0.000341455        0.908573        0.908573        0.908573
     0.000464159        0.266089        0.266089        0.266089
     0.000630957       0.0779279       0.0779279       0.0779279
     0.000857696       0.0228223       0.0228223       0.0228223
      0.00116591      0.00668385      0.00668385      0.00668385
      0.00158489      0.00195746      0.00195746      0.00195746
      0.00215443     0.000573271     0.000573271     0.000573271
      0.00292864     0.000167891     0.000167891     0.000167891
      0.00398107     4.91692e-05     4.91692e-05     4.91692e-05
       0.0054117     1.43999e-05     1.43999e-05     1.43999e-05
      0.00735642     4.21722e-06     4.21722e-06     4.21722e-06
            0.01     1.23507e-06     1.23507e-06     1.23507e-06
       0.0135936     3.61709e-07     3.61709e-07     3.61709e-07
       0.0184785     1.05932e-07     1.05932e-07     1.05932e-07
       0.0251189     3.10237e-08     3.10237e-08     3.10237e-08
       0.0341455     9.08573e-09     9.08573e-09     9.08573e-09
       0.0464159     2.66089e-09     2.66089e-09     2.66089e-09
       0.0630957     7.79279e-10     7.79279e-10     7.79279e-10
       0.0857696     2.28223e-10     2.28223e-10     2.28223e-10
        0.116591     6.68385e-11     6.68385e-11     6.68385e-11
        0.158489     1.95746e-11     1.95746e-11     1.95746e-11
        0.215443     5.73271e-12     5.73271e-12     5.73271e-12
        0.292864     1.67891e-12     1.67891e-12     1.67891e-12
        0.398107     4.91692e-13     4.91692e-13     4.91692e-13
         0.54117     1.43999e-13     1.43999e-13     1.43999e-13
        0.735642     4.21722e-14     4.21722e-14     4.21722e-14
               1     1.23507e-14     1.23507e-14     1.23507e-14
         1.35936     3.61709e-15     3.61709e-15     3.61709e-15
         1.84785     1.05932e-15     1.05932e-15     1.05932e-15
         2.51189     3.10237e-16     3.10237e-16     3.10237e-16
         3.41455     9.08573e-17     9.08573e-17     9.08573e-17
         4.64159     2.66089e-17     2.66089e-17     2.66089e-17
         6.30957     7.79279e-18     7.79279e-18     7.79279e-18
         8.57696     2.28223e-18     2.28223e-18     2.28223e-18
         11.6591     6.68385e-19     6.68385e-19     6.68385e-19
         15.8489     1.95746e-19     1.95746e-19     1.95746e-19
         21.5443     5.73271e-20     5.73271e-20     5.73271e-20
         29.2864     1.67891e-20     1.67891e-20     1.67891e-20
         39.8107     4.91692e-21     4.91692e-21     4.91692e-21
          54.117     1.43999e-21     1.43999e-21     1.43999e-21
         73.5642     4.21722e-22     4.21722e-22     4.21722e-22
             100     1.23507e-22     1.23507e-22     1.23507e-22
         135.936     3.61709e-23     3.61709e-23     3.61709e-23
         184.785     1.05932e-23     1.05932e-23     1.05932e-23
         251.189     3.10237e-24     3.10237e-24     3.10237e-24
         341.455     9.08573e-25     9.08573e-25     9.08573e-25
         464.159     2.66089e-25     2.66089e-25     2.66089e-25
         630.957     7.79279e-26     7.79279e-26     7.79279e-26
         857.696     2.28223e-26     2.28223e-26     2.28223e-26
         1165.91     6.68385e-27     6.68385e-27     6.68385e-27
         1584.89     1.95746e-27     1.95746e-27     1.95746e-27
         2154.43     5.73271e-28     5.73271e-28     5.73271e-28
         2928.64     1.67891e-28     1.67891e-28     1.67891e-28
